RunTime,WheelSpeed,WheelBackupSpeed,WheelSpeedReference,DutyCycle,WheelCurrent,DigitalCurrent,MCUtemperature,BackupMode,ControlMode,MotorSwitch,WheelErrorState
272.244,0,0,0,0,3,28,24,False,SpeedController,True,
272.957,0,0,0,0,3,28,24,False,SpeedController,True,
273.682,0,0,0,0.015655333,3,28,24,False,SpeedController,True,
274.378,0,0,0,0,3,28,25,False,SpeedController,True,
275.087,0,0,0,0,3,28,23,False,SpeedController,True,
275.796,0,0,0,-0.019171136,3,28,24,False,SpeedController,True,
276.494,0,0,0,0,3,28,24,False,SpeedController,True,
277.204,0,0,0,0,3,28,24,False,SpeedController,True,
277.901,0,0,0,0,3,28,23,False,SpeedController,True,
278.598,0,0,0,0,3,28,24,False,SpeedController,True,
279.307,0,0,0,-0.011692988,3,28,24,False,SpeedController,True,
280.012,0,0,0,0,3,28,24,False,SpeedController,True,
280.714,0,0,0,0,3,28,23,False,SpeedController,True,
281.417,0,0,0,0,3,28,24,False,SpeedController,True,
282.131,0,0,0,0,3,28,24,False,SpeedController,True,
282.844,0,0,0,0.0022796702,3,28,24,False,SpeedController,True,
283.534,0,0,0,0,3,28,23,False,SpeedController,True,
284.243,0,0,0,0,3,28,24,False,SpeedController,True,
284.950,0,0,0,0,3,28,25,False,SpeedController,True,
285.664,0,0,0,0,3,28,25,False,SpeedController,True,
286.382,0,0,0,0,3,27,23,False,SpeedController,True,
287.102,0,0,0,0.025953408,3,28,24,False,SpeedController,True,
287.806,0,0,0,0,3,28,23,False,SpeedController,True,
288.516,0,0,0,0,3,28,25,False,SpeedController,True,
289.218,0,0,0,0,3,28,23,False,SpeedController,True,
289.916,0,0,0,0,3,28,23,False,SpeedController,True,
290.632,0,0,0,-0.021423299,3,28,23,False,SpeedController,True,
291.348,0,0,0,0,3,28,24,False,SpeedController,True,
292.067,0,0,0,-0.009497011,3,28,24,False,SpeedController,True,
292.783,0,0,0,0,3,28,23,False,SpeedController,True,
293.493,0,0,0,0,3,28,24,False,SpeedController,True,
294.200,0,0,0,-0.0071526053,3,28,25,False,SpeedController,True,
294.899,0,0,0,0,3,28,23,False,SpeedController,True,
295.617,0,0,0,0,3,28,25,False,SpeedController,True,
296.330,0,0,0,0,3,28,23,False,SpeedController,True,
297.049,0,0,0,0,3,28,24,False,SpeedController,True,
297.755,0,0,0,0.025169333,3,28,24,False,SpeedController,True,
298.464,0,0,0,0,3,28,24,False,SpeedController,True,
299.183,0,0,0,0,3,28,24,False,SpeedController,True,
299.883,0,0,0,0,3,28,23,False,SpeedController,True,
300.589,0,0,0,0.0069370205,3,28,24,False,SpeedController,True,
301.296,0,0,0,0,3,28,26,False,SpeedController,True,
301.998,0,0,0,0,3,28,22,False,SpeedController,True,
302.692,0,0,0,0,3,28,24,False,SpeedController,True,
303.394,0,0,0,0,3,28,24,False,SpeedController,True,
304.108,0,0,0,0,3,28,24,False,SpeedController,True,
304.818,0,0,0,0,3,28,23,False,SpeedController,True,
305.537,0,0,0,0.0005091618,3,28,23,False,SpeedController,True,
306.249,0,0,0,0,3,28,24,False,SpeedController,True,
306.966,0,0,0,0,3,28,25,False,SpeedController,True,
307.668,0,0,0,0,3,28,24,False,SpeedController,True,
308.373,0,0,0,-0.010033339,3,28,24,False,SpeedController,True,
309.080,0,0,0,0,3,28,24,False,SpeedController,True,
309.784,0,0,0,0,3,28,24,False,SpeedController,True,
310.499,0,0,0,0,3,28,24,False,SpeedController,True,
311.201,0,0,0,0.022747591,3,28,25,False,SpeedController,True,
311.907,0,0,0,0,3,28,24,False,SpeedController,True,
312.609,0,0,0,0,3,28,25,False,SpeedController,True,
313.303,0,0,0,0,3,28,23,False,SpeedController,True,
314.007,0,0,0,0.028168922,3,28,24,False,SpeedController,True,
314.726,0,0,0,0,3,28,25,False,SpeedController,True,
315.446,0,0,0,0,3,28,24,False,SpeedController,True,
316.150,0,0,0,0,3,28,23,False,SpeedController,True,
316.861,0,0,0,-0.006017516,3,28,23,False,SpeedController,True,
317.566,0,0,0,0,3,28,24,False,SpeedController,True,
318.283,0,0,0,0,3,28,25,False,SpeedController,True,
318.985,0,0,0,0,3,28,24,False,SpeedController,True,
319.679,0,0,0,0,3,28,24,False,SpeedController,True,
320.399,0,0,0,0,3,28,24,False,SpeedController,True,
321.116,0,0,0,0,3,28,23,False,SpeedController,True,
321.820,0,0,0,0,3,28,24,False,SpeedController,True,
322.526,0,0,0,-0.011292121,3,28,24,False,SpeedController,True,
323.229,0,0,0,0,3,28,24,False,SpeedController,True,
323.932,0,0,0,0,3,28,22,False,SpeedController,True,
324.637,0,0,0,0,3,28,25,False,SpeedController,True,
325.341,0,0,0,0,3,28,24,False,SpeedController,True,
326.046,0,0,0,-0.011954767,3,28,24,False,SpeedController,True,
326.749,0,0,0,0,3,28,25,False,SpeedController,True,
327.452,0,0,0,0,3,28,24,False,SpeedController,True,
328.156,0,0,0,-0.02013425,3,28,25,False,SpeedController,True,
328.860,0,0,0,0,3,28,24,False,SpeedController,True,
329.565,0,0,0,0,3,28,24,False,SpeedController,True,
330.268,0,0,0,0,3,28,25,False,SpeedController,True,
330.971,0,0,0,-0.010970503,3,28,23,False,SpeedController,True,
331.675,0,0,0,0,3,28,23,False,SpeedController,True,
332.379,0,0,0,0,3,28,24,False,SpeedController,True,
333.081,0,0,0,0,3,28,25,False,SpeedController,True,
333.794,0,0,0,0,3,28,24,False,SpeedController,True,
334.498,0,0,0,0,3,28,25,False,SpeedController,True,
335.202,0,0,0,0,3,28,25,False,SpeedController,True,
335.903,0,0,0,0,3,28,24,False,SpeedController,True,
336.607,0,0,0,-0.0121541275,3,28,25,False,SpeedController,True,
337.310,0,0,0,0,3,28,23,False,SpeedController,True,
338.013,0,0,0,0,3,28,24,False,SpeedController,True,
338.717,0,0,0,0,3,28,24,False,SpeedController,True,
339.418,0,0,0,0.01150973,3,28,24,False,SpeedController,True,
340.122,0,0,0,0,3,28,23,False,SpeedController,True,
340.828,0,0,0,0,3,28,23,False,SpeedController,True,
341.531,0,0,0,0.0051239114,3,28,24,False,SpeedController,True,
342.239,0,0,0,0.026947903,3,28,24,False,SpeedController,True,
342.939,0,0,0,0,3,28,24,False,SpeedController,True,
343.642,0,0,0,0,3,28,25,False,SpeedController,True,
344.346,0,0,0,0,3,28,23,False,SpeedController,True,
345.049,0,0,0,0,3,28,24,False,SpeedController,True,
345.752,0,0,0,0,3,28,25,False,SpeedController,True,
346.477,0,0,0,0,3,28,23,False,SpeedController,True,
347.154,0,0,0,0,3,28,24,False,SpeedController,True,
347.882,0,0,0,-0.029130016,3,28,24,False,SpeedController,True,
348.567,0,0,0,0.0022119808,3,28,23,False,SpeedController,True,
349.272,0,0,0,0,3,28,24,False,SpeedController,True,
349.975,0,0,0,0,3,28,24,False,SpeedController,True,
350.678,0,0,0,0,3,28,25,False,SpeedController,True,
351.381,0,0,0,0.008021973,3,28,23,False,SpeedController,True,
352.086,0,0,0,0,3,28,23,False,SpeedController,True,
352.791,0,0,0,0,3,28,25,False,SpeedController,True,
353.495,0,0,0,0,3,28,25,False,SpeedController,True,
354.202,0,0,0,0,3,28,24,False,SpeedController,True,
354.904,0,0,0,-0.01704143,3,28,24,False,SpeedController,True,
355.607,0,0,0,-0.011070636,3,28,24,False,SpeedController,True,
356.311,0,0,0,0,3,28,24,False,SpeedController,True,
357.014,0,0,0,0,3,28,24,False,SpeedController,True,
357.718,0,0,0,0,3,28,24,False,SpeedController,True,
358.422,0,0,0,0,3,28,25,False,SpeedController,True,
359.127,0,0,0,0,3,28,24,False,SpeedController,True,
359.817,0,0,0,0,3,28,23,False,SpeedController,True,
360.523,0,0,0,0,3,28,23,False,SpeedController,True,
361.227,0,0,0,0.00252817,3,28,24,False,SpeedController,True,
361.930,0,0,0,0,3,28,24,False,SpeedController,True,
362.633,0,0,0,0,3,28,24,False,SpeedController,True,
363.338,0,0,0,0,3,28,25,False,SpeedController,True,
364.040,0,0,0,-0.007046487,3,28,25,False,SpeedController,True,
364.744,0,0,0,-0.014523616,3,28,23,False,SpeedController,True,
365.449,0,0,0,0.012738607,3,28,23,False,SpeedController,True,
366.153,0,0,0,0,3,28,24,False,SpeedController,True,
366.857,0,0,0,0,3,28,23,False,SpeedController,True,
367.558,0,0,0,0,3,28,23,False,SpeedController,True,
368.263,0,0,0,0,3,28,23,False,SpeedController,True,
368.967,0,0,0,0,3,28,24,False,SpeedController,True,
369.670,0,0,0,0,3,28,23,False,SpeedController,True,
370.376,0,0,0,0,3,28,25,False,SpeedController,True,
371.081,0,0,0,0,3,28,24,False,SpeedController,True,
371.769,0,0,0,-0.0064844126,3,28,23,False,SpeedController,True,
372.491,0,0,0,-0.026862731,3,28,24,False,SpeedController,True,
373.195,0,0,0,0,3,28,23,False,SpeedController,True,
373.898,0,0,0,0,3,28,25,False,SpeedController,True,
374.603,0,0,0,0,3,28,24,False,SpeedController,True,
375.307,0,0,0,0.006550016,3,28,24,False,SpeedController,True,
376.010,0,0,0,-0.011964419,3,28,24,False,SpeedController,True,
376.720,0,0,0,-0.0078387745,3,28,24,False,SpeedController,True,
377.417,0,0,0,0,3,28,25,False,SpeedController,True,
378.129,0,0,0,0,3,28,24,False,SpeedController,True,
